,C4:EA:1D:B9:49:5F (TNCAPB9495F),6A:51:48:7C:54:95 (RosaMaria \xF0\x9F\x92\x95),4C:75:25:CD:DD:E9 (M5Stick),94:B9:7E:A9:10:15 (M5Atom),room_index,measurement_index,batch_index,x,y,z,9E:A3:A9:B4:75:77 (),34:0A:33:65:27:E0 (BALTCOM-65:27:DE),50:D4:F7:13:92:F7 (OPTIC5796_2.4Ghz_EXT),76:4D:28:7D:BD:B5 (KVSKT),76:4D:28:7D:BD:B4 (Publiskais_Internets),A4:B1:E9:AA:32:E7 (TNCAPAA32E7),F4:79:60:DC:32:78 (OPTIC326F),76:4D:28:7D:C5:1A (Publiskais_Internets),76:4D:28:7D:C5:1B (KVSKT),B0:BE:76:77:99:FC (B4_2.4),76:4D:28:7D:BD:B3 (SportaSkola),74:4D:28:7D:BD:B3 (Skola),74:4D:28:7D:B9:F3 (Skola),76:4D:28:7D:B9:F3 (SportaSkola),76:4D:28:7D:B9:F4 (Publiskais_Internets),76:4D:28:7D:B9:F5 (KVSKT),56:D4:F7:59:5F:F7 (),76:4D:28:7D:BB:39 (KVSKT),9E:A3:A9:B4:82:36 (),76:4D:28:7D:BD:B7 (Publiskais_Internets),58:D5:6E:C8:E4:B8 (BALTCOM-5G-C8:E4:B8),CC:2D:E0:1B:E6:31 (),74:4D:28:7D:8F:8B (Skola),76:4D:28:7D:8F:8D (KVSKT),1C:74:0D:D1:08:24 (Ruteris3),74:4D:28:7D:A8:FD (Skola),76:4D:28:7D:A8:FF (KVSKT),76:4D:28:7D:7C:2A (Publiskais_Internets),76:4D:28:7D:7C:2B (KVSKT),9E:A3:A9:B4:81:37 (),76:4D:28:7D:C2:2F (KVSKT),F4:79:60:DC:32:7C (OPTIC326F-5G),74:4D:28:7D:BB:37 (Skola),74:4D:28:7D:C5:19 (Skola),76:4D:28:7D:8F:8B (SportaSkola),76:4D:28:7D:8F:8C (Publiskais_Internets),76:4D:28:7D:7C:29 (SportaSkola),44:D7:91:33:FB:00 (),76:4D:28:7D:A8:FD (SportaSkola),B4:43:26:C6:4E:50 (OPTIC4E42),74:4D:28:66:71:CB (Skola),76:4D:28:66:71:CB (SportaSkola),76:4D:28:66:71:CC (Publiskais_Internets),88:40:33:8C:BE:6C (EDGE-M2nU),76:4D:28:7D:BD:B8 (KVSKT),76:4D:28:7D:C5:19 (SportaSkola),98:DA:C4:9B:C7:97 (neaiztiec),74:DA:DA:E6:CC:D8 (Cukurs),74:4D:28:7D:C5:1A (Skola),76:4D:28:7D:C5:1D (Publiskais_Internets),76:4D:28:7D:C5:1E (KVSKT),74:4D:28:7D:BD:B4 (Skola),76:4D:28:7D:BD:B6 (SportaSkola),C8:1F:BE:D2:B2:BC (OPTICB2AC),76:4D:28:7D:C5:1C (SportaSkola),76:4D:28:7D:BB:38 (Publiskais_Internets),9E:A3:A9:B1:62:62 (),44:D7:91:33:FB:01 (HUAWEI-B535-FAFC),74:4D:28:7D:7C:29 (Skola),74:4D:28:7D:B9:F4 (Skola),76:4D:28:7D:B9:F8 (KVSKT),76:4D:28:7D:A8:FE (Publiskais_Internets),88:40:33:8C:BE:70 (EDGE-M2nU),B8:69:F4:C6:BB:55 (),88:40:33:8D:F9:B8 (EDGE-3ADy),74:4D:28:7D:CA:EC (Skola),76:4D:28:7D:B9:F6 (SportaSkola),9E:A3:A9:B4:71:A8 (),74:4D:28:7D:C6:2D (Skola),50:D4:F7:59:5F:F7 (Saule),76:4D:28:7D:CA:ED (KVSKT),44:D7:91:33:FB:03 (),76:4D:28:7D:B9:F7 (Publiskais_Internets),58:D5:6E:C8:E4:BB (BALTCOM-C8:E4:B8),64:D1:54:87:EF:7B (D4_2.4Ghz),74:4D:28:7D:6F:07 (Skola),76:4D:28:7D:6F:08 (Publiskais_Internets),76:4D:28:7D:6F:09 (KVSKT),76:4D:28:7D:C6:2D (SportaSkola),76:4D:28:7D:C6:2E (Publiskais_Internets),76:4D:28:7D:C6:2F (KVSKT),76:4D:28:7D:CF:8F (SportaSkola),76:4D:28:7D:CF:90 (Publiskais_Internets),76:4D:28:7D:CF:91 (KVSKT),74:4D:28:7D:BB:38 (Skola),76:4D:28:7D:BB:3A (SportaSkola),76:4D:28:7D:BB:3B (Publiskais_Internets),76:4D:28:7D:BB:3C (KVSKT),74:4D:28:7D:CF:8F (Skola),76:4D:28:7D:6F:07 (SportaSkola),6C:16:32:B4:57:9C (OPTIC5796),76:4D:28:7D:A7:0F (KVSKT),74:4D:28:7D:A7:0D (Skola),BC:0F:9A:07:10:03 (BALTCOM-07:10:01),48:8F:5A:B7:C6:84 (LMT-C67F),00:15:6D:5C:09:D3 (sek52),00:27:22:2A:B1:B6 (kekava4),6C:16:32:B4:57:A0 (OPTIC5796-5G),00:15:6D:1E:CF:78 (toodukalns),64:D1:54:87:EF:7A (D4_5Ghz),64:69:4E:A4:56:FD (SMA3012944628),10:FE:ED:A4:4B:24 (fantastika),9C:53:22:18:89:10 (BALTICOM2G_4475416),6C:3B:6B:6D:DE:93 (GaismasTilts97),6E:3B:6B:6D:DE:93 (Publiskais_Internets),B0:BE:76:77:99:FB (B4_5),B0:96:6C:36:79:23 (DIGIT-DISPLAY-NUM-3),9E:A3:A9:B4:72:2D (),76:4D:28:66:71:CD (KVSKT),14:CC:20:93:98:3E (Ome),76:4D:28:66:64:3B (SportaSkola),76:4D:28:66:64:3C (Publiskais_Internets),76:4D:28:66:64:3D (KVSKT),74:4D:28:66:64:3B (Skola),44:D7:91:33:FA:FC (HUAWEI-B535-FAFC),64:D1:54:55:EF:20 (2Ghz_Nets),42:AA:1F:B0:97:77 (\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00),10:FE:ED:D6:65:04 (ATIS),F8:D1:11:64:CD:14 (LLV),88:40:33:8A:8E:04 (TP-LINK_3B47F8),44:55:B1:DC:73:C4 (OPTIC73B7),90:F6:52:3B:47:F8 (TP-LINK_3B47F8),94:25:33:31:25:70 (OPTIC2568),76:4D:28:7D:CA:EB (SportaSkola),76:4D:28:7D:CA:EC (Publiskais_Internets),76:4D:28:7D:C7:3B (KVSKT),76:4D:28:7D:A7:0E (Publiskais_Internets),76:4D:28:7D:A7:0D (SportaSkola),84:3E:92:6E:28:6C (OPTIC1),88:40:33:8A:8E:08 (TP-LINK_3B47F8),74:4D:28:7D:CA:EB (Skola),74:4D:28:7D:CF:90 (Skola),76:4D:28:7D:CA:EF (Publiskais_Internets),76:4D:28:7D:CF:92 (SportaSkola),76:4D:28:7D:CF:93 (Publiskais_Internets),76:4D:28:7D:BB:37 (SportaSkola),76:4D:28:7D:CA:EE (SportaSkola),76:4D:28:7D:C2:2D (SportaSkola),94:04:9C:75:6B:F0 (OPTIC6BE2),76:4D:28:7D:CA:F0 (KVSKT),74:4D:28:7D:7C:2A (Skola),76:4D:28:7D:7C:2C (SportaSkola),76:4D:28:7D:7C:2D (Publiskais_Internets),76:4D:28:7D:7C:2E (KVSKT),76:4D:28:7D:C2:2E (Publiskais_Internets),74:4D:28:7D:C2:2D (Skola),0C:80:63:4B:8C:64 (TP-Link_8C64),B4:CD:27:E8:AF:82 (LMT-AF82),36:5F:C9:E9:9D:4C (M\xC4\x81rti\xC5\x86\xC5\xA1\xE2\x80\x99s iPhone),DC:2C:6E:F6:36:F1 (LMT-5GHz-36EB),DC:2C:6E:F6:36:F0 (LMT-2GHz-36EB),6C:3B:6B:6D:DD:81 (GaismasTilts97),C4:44:7D:70:5E:44 (PPB 2.4),3C:F8:08:EF:71:48 (OPTIC7139),34:0A:33:65:27:DE (BALTCOM-5G-65:27:DE),48:8F:5A:B7:C6:85 (LMT-5G-C67F),74:4D:28:7D:7C:83 (Skola),76:4D:28:7D:7C:83 (SportaSkola),76:4D:28:7D:7C:84 (Publiskais_Internets),76:4D:28:7D:7C:85 (KVSKT),08:3A:2F:4B:69:0D (NVR083a2f4b690d),76:4D:28:7D:C7:3A (Publiskais_Internets),74:4D:28:7D:C7:39 (Skola),76:4D:28:7D:C7:39 (SportaSkola),74:4D:28:7D:C6:1E (Skola),F4:DE:AF:E4:41:0C (OPTIC4105),76:4D:28:7D:C6:30 (SportaSkola),F4:87:C5:0D:F4:31 (HUAWEI_B818_F42C),76:4D:28:7D:C6:20 (SportaSkola),76:4D:28:7D:C6:21 (Publiskais_Internets),76:4D:28:7D:C6:22 (KVSKT),74:4D:28:7D:B3:61 (Skola),76:4D:28:7D:B3:61 (SportaSkola),76:4D:28:7D:A0:4C (Publiskais_Internets),76:4D:28:7D:C7:15 (KVSKT)
3360,-60,-79,-68,-53,4,18,11,421,378,127,-79,,,,,,,,,,,,,-86,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3361,-70,-79,-77,-52,4,18,12,421,378,127,-79,,,,,,,,,,,,,-86,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,-70,-79,-68,-52,4,18,13,421,378,127,-79,,,,,,,,,,,,,-86,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,-70,-79,-68,-52,4,18,14,421,378,127,-79,,,,,,,,,,,,,-86,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,-70,-79,-68,-52,4,18,15,421,378,127,-79,,,,,,,,,,,,,-86,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,-70,-79,-68,-52,4,18,16,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,-70,-79,-68,-52,4,18,17,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3367,-59,-80,-68,-52,4,18,18,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368,-59,-80,-68,-52,4,18,19,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,-59,-80,-68,-52,4,18,20,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370,-59,-80,-68,-52,4,18,21,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,-59,-80,-68,-52,4,18,22,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,-59,-80,-68,-52,4,18,23,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,-59,-80,-68,-52,4,18,24,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,-59,-80,-68,-52,4,18,25,421,378,127,-79,,,,,,,,,,,,,-86,,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,-61,-80,-85,-56,4,19,1,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,-61,-80,-85,-56,4,19,2,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,-61,-80,-85,-56,4,19,3,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,-61,-80,-85,-56,4,19,4,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,-61,-80,-85,-56,4,19,5,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,-61,-80,-85,-56,4,19,6,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,-61,-80,-85,-56,4,19,7,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,-61,-80,-85,-56,4,19,8,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,-61,-80,-85,-56,4,19,9,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384,-61,-80,-85,-56,4,19,10,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,-61,-80,-85,-56,4,19,11,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,-61,-80,-85,-56,4,19,12,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,-61,-80,-85,-56,4,19,13,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,-85,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,-66,-71,-76,-55,4,19,14,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,-66,-71,-76,-58,4,19,15,191,280,127,-79,,,,,,-87,,,-86,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,-66,-71,-76,-58,4,19,16,191,280,127,-79,,,,,,,,,-86,,,,,,,-87,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,-66,-71,-76,-58,4,19,17,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,-66,-70,-78,-58,4,19,18,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,-66,-70,-78,-68,4,19,19,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,-66,-70,-78,-68,4,19,20,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395,-66,-70,-78,-68,4,19,21,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,-66,-70,-78,-68,4,19,22,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,-66,-70,-78,-68,4,19,23,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,-66,-70,-78,-68,4,19,24,191,280,127,-75,,,,,,,,,-86,,,,,,,-87,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,-68,-81,-78,-68,4,19,25,191,280,127,-75,,,,,,,,,,,,,,,,-87,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,,,,,,,-85,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,-63,-75,-76,-49,4,20,1,306,280,127,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,-63,-75,-76,-49,4,20,2,306,280,127,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,-63,-75,-76,-49,4,20,3,306,280,127,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,-63,-75,-76,-49,4,20,4,306,280,127,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,-63,-75,-76,-49,4,20,5,306,280,127,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
